Cod_ibge;Mun;Município_base;Regional;Lat;Long;Unidade_Nome;Unidade
3514809;ELDORADO;Eldorado;Regional Registro;-48,228915;-24,519825;CASA DE AGRICULTURA DE Eldorado;CA
3514908;ELIAS FAUSTO;Elias Fausto;Regional Campinas;-47,368647;-23,062587;CASA DE AGRICULTURA DE Elias Fausto;CA
3514924;ELISIÁRIO;Elisiário;Regional Catanduva;-49,080095;-21,143509;CASA DE AGRICULTURA DE Elisiário;CA
3514957;EMBAÚBA;Embaúba;Regional Barretos;-48,845213;-20,947935;CASA DE AGRICULTURA DE Embaúba;CA
3515129;EMILIANÓPOLIS;Emilianópolis;Regional Presidente Prudente;-51,475302;-21,814633;CASA DE AGRICULTURA DE Emilianópolis;CA
3515152;ENGENHEIRO COELHO;Engenheiro Coelho;Regional Mogi Mirim;-47,177694;-22,474903;CASA DE AGRICULTURA DE Engenheiro Coelho;CA
3515186;ESPÍRITO SANTO DO PINHAL;Espírito Santo do Pinhal;Regional São João da Boa Vista;-46,682101;-22,177189;CASA DE AGRICULTURA DE Espírito Santo do Pinhal;CA
3557303;ESTIVA GERBI;Estiva Gerbi;Regional Mogi Mirim;-46,947921;-22,237774;CASA DE AGRICULTURA DE Estiva Gerbi;CA
3515301;ESTRELA DO NORTE;Estrela do Norte;Regional Presidente Prudente;-51,681506;-22,494927;CASA DE AGRICULTURA DE Estrela do Norte;CA
3515202;ESTRELA D'OESTE;Estrela D'Oeste;Regional Fernandópolis;-50,400939;-20,260138;CASA DE AGRICULTURA DE Estrela d'Oeste;CA
3515350;EUCLIDES DA CUNHA PAULISTA;Euclídes da Cunha Paulista;Regional PresidenteVenceslau;-52,594715;-22,541836;CASA DE AGRICULTURA DE Euclides da Cunha Paulista;CA
3515400;FARTURA;Fartura;Regional Ourinhos;-49,513815;-23,398502;CASA DE AGRICULTURA DE Fartura;CA
3515608;FERNANDO PRESTES;Fernando Prestes;Regional Jaboticabal;-48,683003;-21,31783;CASA DE AGRICULTURA DE Fernando Prestes;CA
3515509;FERNANDÓPOLIS;Fernandópolis;Regional Fernandópolis;-50,259365;-20,285212;CASA DE AGRICULTURA DE Fernandópolis;CA
3515657;FERNÃO;Fernão;Regional Marília;-49,539884;-22,375338;CASA DE AGRICULTURA DE Fernão;CA
3515806;FLORA RICA;Flora Rica;Regional Dracena;-51,3804;-21,724626;CASA DE AGRICULTURA DE Flora Rica;CA
3515905;FLOREAL;Floreal;Regional General Salgado;-50,167788;-20,644112;CASA DE AGRICULTURA DE Floreal;CA
3516002;FLÓRIDA PAULISTA;Flórida Paulista;Regional Dracena;-51,171596;-21,570717;CASA DE AGRICULTURA DE Flórida Paulista;CA
3516101;FLORÍNIA;Florínea;Regional Assis;-50,684688;-22,869191;CASA DE AGRICULTURA DE Florínea;CA
3516200;FRANCA;Franca;Regional Franca;-47,350896;-20,59606;CASA DE AGRICULTURA DE Franca;CA
3516408;FRANCO DA ROCHA;Franco da Rocha;Regional São Paulo;-46,740144;-23,318501;CASA DE AGRICULTURA DE Franco da Rocha;CA
3516507;GABRIEL MONTEIRO;Gabriel Monteiro;Regional Araçatuba;-50,577828;-21,509359;CASA DE AGRICULTURA DE Gabriel Monteiro;CA
3516606;GÁLIA;Gália;Regional Marília;-49,576663;-22,319109;CASA DE AGRICULTURA DE Gália;CA
3516705;GARÇA;Garça;Regional Marília;-49,695074;-22,229476;CASA DE AGRICULTURA DE Garça;CA
3516804;GASTÃO VIDIGAL;Gastão Vidigal;Regional General Salgado;-50,199371;-20,800448;CASA DE AGRICULTURA DE Gastão Vidigal;CA
3516853;GAVIÃO PEIXOTO;Gavião Peixoto;Regional Araraquara;-48,46734;-21,781699;CASA DE AGRICULTURA DE Gavião Peixoto;CA
3516903;GENERAL SALGADO;General Salgado;Regional General Salgado;-50,416034;-20,6438;CASA DE AGRICULTURA DE General Salgado;CA
3517000;GETULINA;Getulina;Regional Lins;-50,063539;-21,808968;CASA DE AGRICULTURA DE Getulina;CA
3517109;GLICÉRIO;Glicério;Regional Araçatuba;-50,215643;-21,309359;CASA DE AGRICULTURA DE Glicério;CA
3517208;GUAIÇARA;Guaiçara;Regional Lins;-49,732069;-21,538567;CASA DE AGRICULTURA DE Guaiçara;CA
3517307;GUAIMBÊ;GUAIMBÊ;Regional Lins;-49,873345;-21,861248;CASA DE AGRICULTURA DE Guaimbê;CA
3517406;GUAÍRA;Guaíra;Regional Barretos;-48,387311;-20,330793;CASA DE AGRICULTURA DE Guaíra;CA
